Rk,Team,Rec,FBS,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk
84,Memphis,6-6,5-6,-.17,.06,58,-.03,48,-.18,76,.25,26,-.58,124,-.33,96
85,UL Monroe,4-8,3-8,-.18,-.02,104,-.03,54,-.21,97,.06,98,.46,20,-.32,94
86,Kansas,2-10,1-10,-.18,.04,67,.03,15,-.01,18,-.11,126,-.21,105,-.08,46
87,BYU,10-3,9-3,-.19,-.01,102,-.04,61,-.22,101,.26,21,-.14,100,-.45,114
88,Akron,2-10,1-10,-.19,.10,37,-.10,97,-.15,64,.07,93,-.05,93,.03,32
89,Troy,5-7,4-7,-.20,-.03,112,-.08,84,-.21,94,.13,76,.45,22,-.33,100
90,Hawaii,6-7,5-7,-.22,.08,43,-.08,87,-.22,99,-.03,118,.42,28,-.05,42
91,Washington State,7-6,6-6,-.23,-.01,101,-.09,94,-.26,110,.18,55,.32,42,-.03,38
92,Utah,10-4,9-4,-.25,.16,19,-.12,103,.02,9,-.13,127,-.25,110,.02,35
93,New Mexico,3-9,2-9,-.26,.04,66,-.03,56,-.13,56,.05,102,-.19,104,-.59,123
94,Air Force,10-3,9-3,-.26,.08,45,-.12,107,-.24,105,.25,27,-.22,106,.09,24
95,East Carolina,7-5,6-5,-.28,-.04,121,-.12,105,-.18,78,.22,34,.17,60,.33,8
96,Southern Mississippi,3-9,2-9,-.28,.09,42,-.01,39,-.03,25,.00,114,-.69,126,-.24,81
97,USC,4-8,4-8,-.28,.04,68,-.15,112,-.27,114,.17,57,.36,37,.43,6
98,UCF,9-4,8-4,-.32,.08,50,-.02,40,-.17,74,.07,94,-.42,120,-.04,41
99,Miami,7-5,6-5,-.32,-.04,122,-.17,113,-.18,79,.24,29,.24,54,-.33,97
100,New Mexico State,2-10,1-10,-.36,-.04,119,-.01,33,-.27,115,.06,96,.26,49,-.23,78
101,Iowa State,7-6,6-6,-.39,.07,53,-.12,104,-.27,117,-.02,117,.48,17,.23,10
102,Georgia State,8-5,8-5,-.39,.00,97,-.06,70,-.29,122,.05,103,.39,35,-.21,70
103,Purdue,9-4,9-4,-.39,-.05,123,-.04,64,-.16,66,.05,101,.10,71,.07,26
104,Massachusetts,1-11,1-9,-.44,.02,83,-.08,88,-.43,129,.21,41,.24,51,.06,27
105,Georgia Southern,3-9,2-9,-.46,.02,84,-.18,115,-.13,57,.08,91,.04,83,-.42,112
106,Florida State,5-7,5-6,-.47,.03,73,-.13,108,-.32,126,.16,61,.14,64,-.44,113
107,Oregon,10-4,9-4,-.49,.01,89,-.07,82,-.19,83,-.03,120,.10,72,-.40,110
108,South Alabama,5-7,4-7,-.51,.02,86,-.21,123,-.21,93,.19,49,.03,86,-.15,60
109,Tulane,2-10,1-10,-.53,-.04,118,-.01,37,-.15,65,.26,20,-1.01,129,-.18,64
110,Florida International,1-11,0-11,-.55,-.03,110,-.12,106,-.10,47,.19,50,-.56,123,-.20,68
111,Buffalo,4-8,3-8,-.56,.03,77,-.06,71,-.14,59,-.15,128,.07,76,.65,1
112,Louisiana Tech,3-9,2-9,-.61,-.01,100,-.19,119,-.10,45,.01,112,.11,70,-.16,62
113,Florida Atlantic,5-7,4-7,-.61,-.04,120,-.15,111,-.23,104,.14,72,.09,73,.52,3
114,Vanderbilt,2-10,2-9,-.61,-.07,127,-.07,77,-.27,118,.03,106,.27,48,-.21,75
115,Tulsa,7-6,7-5,-.64,.04,71,-.35,130,-.22,100,.09,89,.66,6,.03,33
116,Virginia,6-6,5-6,-.65,-.11,130,-.08,89,-.21,96,.10,86,.05,81,.03,31
117,Syracuse,5-7,4-7,-.68,.03,74,-.08,91,-.12,53,-.08,124,-.34,116,-.21,73
118,Indiana,2-10,1-10,-.68,-.03,108,-.18,116,-.24,106,.05,100,.28,44,-.63,127
119,Arizona State,8-5,7-5,-.69,-.05,125,-.11,101,-.27,116,.22,33,-.35,117,-.51,120
120,Maryland,7-6,6-6,-.70,-.04,117,-.29,127,-.04,28,.14,69,-.11,98,-.24,80
